probe,k,setup,delta
933,1,top,0.19156301021575928
933,1,random,0.005205035209655762
933,1,random,0.005207180976867676
933,5,top,0.23194843530654907
933,5,random,0.0007805824279785156
933,5,random,0.0006974339485168457
1459,1,top,0.023558437824249268
1459,1,random,0.0006416440010070801
1459,1,random,0.0005128979682922363
1459,5,top,0.10501164197921753
1459,5,random,0.001507103443145752
1459,5,random,0.0009807348251342773
1338,1,top,0.03154097497463226
1338,1,random,0.01055590808391571
1338,1,random,0.009909108281135559
1338,5,top,0.01877647638320923
1338,5,random,0.0032810717821121216
1338,5,random,0.0022584497928619385
1802,1,top,0.00731710996478796
1802,1,random,0.0018942086026072502
1802,1,random,0.0013026371598243713
1802,5,top,0.02308089565485716
1802,5,random,0.0015038903802633286
1802,5,random,0.0009700162336230278
263,1,top,0.01424705982208252
263,1,random,0.0004087686538696289
263,1,random,0.0008185505867004395
263,5,top,0.23702406883239746
263,5,random,0.007148385047912598
263,5,random,0.005885064601898193
81,1,top,0.12419027090072632
81,1,random,0.0021909475326538086
81,1,random,0.00210493803024292
81,5,top,0.17815381288528442
81,5,random,0.0033770203590393066
81,5,random,0.003442823886871338
339,1,top,0.055712997913360596
339,1,random,0.004406824707984924
339,1,random,0.002104058861732483
339,5,top,0.13578230142593384
339,5,random,0.0003304779529571533
339,5,random,0.0014809966087341309
805,1,top,0.5778024792671204
805,1,random,0.019614771008491516
805,1,random,0.026366427540779114
805,5,top,0.7475290894508362
805,5,random,0.06450369954109192
805,5,random,0.058288246393203735
69,1,top,0.2505916357040405
69,1,random,0.03629344701766968
69,1,random,0.0400337278842926
69,5,top,0.10333746671676636
69,5,random,0.0035797953605651855
69,5,random,0.0037830770015716553
685,1,top,0.004896245896816254
685,1,random,0.0016326531767845154
685,1,random,0.0016806535422801971
685,5,top,0.027627430856227875
685,5,random,0.0001425519585609436
685,5,random,0.0009011738002300262
1132,1,top,0.003775648772716522
1132,1,random,0.00011335685849189758
1132,1,random,0.00019205734133720398
1132,5,top,0.01570567861199379
1132,5,random,0.0009214933961629868
1132,5,random,0.0005665617063641548
443,1,top,6.669434515060857e-05
443,1,random,1.1679258022923023e-05
443,1,random,1.1202690075151622e-05
443,5,top,0.009801260523090605
443,5,random,4.59034345112741e-06
443,5,random,5.11912367073819e-06
1266,1,top,6.28805864835158e-05
1266,1,random,2.0943916752003133e-05
1266,1,random,1.7063648556359112e-05
1266,5,top,0.0011196803097845986
1266,5,random,1.511943992227316e-06
1266,5,random,3.8757571019232273e-07
1663,1,top,0.01714520901441574
1663,1,random,0.0008815675973892212
1663,1,random,0.0016662441194057465
1663,5,top,0.05370252579450607
1663,5,random,0.0013068988919258118
1663,5,random,0.0001358240842819214
782,1,top,0.001003209501504898
782,1,random,0.00030772387981414795
782,1,random,0.0002870038151741028
782,5,top,0.008386805653572083
782,5,random,0.0020775943994522095
782,5,random,0.0014567524194717407
796,1,top,0.00936447735875845
796,1,random,0.0014189677312970161
796,1,random,0.0013030245900154114
796,5,top,0.5035689892247319
796,5,random,0.003866090439260006
796,5,random,0.004042566753923893
362,1,top,0.1951561882160604
362,1,random,5.0527509301900864e-05
362,1,random,0.00028389086946845055
362,5,top,0.29364109179005027
362,5,random,3.9297621697187424e-05
362,5,random,0.0007455176673829556
730,1,top,0.006118461489677429
730,1,random,0.014294952154159546
730,1,random,0.013613581657409668
730,5,top,0.13772203028202057
730,5,random,0.0033955127000808716
730,5,random,0.0016892105340957642
702,1,top,0.004017174243927002
702,1,random,0.0001404881477355957
702,1,random,0.0002276301383972168
702,5,top,0.020909547805786133
702,5,random,0.0005483627319335938
702,5,random,0.0008578896522521973
83,1,top,0.00950092077255249
83,1,random,0.0025389790534973145
83,1,random,0.002911865711212158
83,5,top,0.18704378604888916
83,5,random,0.004570484161376953
83,5,random,0.0052683353424072266
168,1,top,0.17943620681762695
168,1,random,0.0008122920989990234
168,1,random,0.0019965171813964844
168,5,top,0.2523534297943115
168,5,random,0.0013987421989440918
168,5,random,0.002398252487182617
1625,1,top,0.177148699760437
1625,1,random,0.005916595458984375
1625,1,random,0.0045430660247802734
1625,5,top,0.2797551155090332
1625,5,random,0.005587220191955566
1625,5,random,0.001925826072692871
1683,1,top,0.3976554535329342
1683,1,random,0.006306871771812439
1683,1,random,0.0061596594750881195
1683,5,top,0.5656548999249935
1683,5,random,0.00616971030831337
1683,5,random,0.004360150545835495
381,1,top,0.006414460018277168
381,1,random,0.0006215386092662811
381,1,random,0.0007904190570116043
381,5,top,0.013026310130953789
381,5,random,0.00039354152977466583
381,5,random,0.0007574949413537979
903,1,top,0.005941941402852535
903,1,random,0.00048262905329465866
903,1,random,0.0005126241594552994
903,5,top,0.01927340403199196
903,5,random,1.91486906260252e-05
903,5,random,5.830451846122742e-05
1263,1,top,0.003817254677414894
1263,1,random,0.0009413417428731918
1263,1,random,0.0011047236621379852
1263,5,top,0.051265889778733253
1263,5,random,0.001104084774851799
1263,5,random,0.0009869709610939026
1043,1,top,0.010096073150634766
1043,1,random,0.0014636516571044922
1043,1,random,0.0010825395584106445
1043,5,top,0.05753493309020996
1043,5,random,2.0444393157958984e-05
1043,5,random,0.0002409219741821289
1924,1,top,5.567773769143969e-05
1924,1,random,3.514738637022674e-06
1924,1,random,5.535563104785979e-06
1924,5,top,0.00029870217258576304
1924,5,random,7.105219992808998e-06
1924,5,random,4.319896106608212e-06
332,1,top,0.005737185478210449
332,1,random,0.004220187664031982
332,1,random,0.004526197910308838
332,5,top,0.17196130752563477
332,5,random,0.003664851188659668
332,5,random,0.0024499893188476562
1416,1,top,0.0006833777297288179
1416,1,random,0.00019715807866305113
1416,1,random,0.0001891836291179061
1416,5,top,0.002419322030618787
1416,5,random,9.603239595890045e-05
1416,5,random,7.069588173180819e-05
